FROM,TO,TIME,AIRLINE
FCO,FRA,03:35,ANA
FCO,SIN,00:15,ANA
ATL,PEK,05:40,ANA
PVG,MAD,00:15,DLH
SIN,CPT,14:35,ANA
DFW,HND,05:50,AEE
PVG,NRT,23:50,UAL
MAD,CPT,02:20,AZA
PVG,PEK,11:55,AFR
HND,ZRH,08:10,RYR
CPT,SIN,12:30,AZA
LAX,JFK,02:25,IBE
MXP,ZRH,06:25,RYR
NRT,AMS,21:20,MAS
CDG,LAX,13:10,UAL
MXP,DXB,03:10,WZZ
FRA,LAX,08:00,AAL
DFW,SIN,14:55,AAL
NRT,PEK,02:50,AZA
PVG,AMS,12:30,UAL
AMS,PEK,15:05,IBE
LAX,HND,20:40,AFL
MXP,DFW,15:10,ANA
JFK,ATL,13:40,ANA
SIN,FCO,23:15,UAL
MAD,PVG,11:00,FIN
AMS,JFK,08:15,UAL
CDG,ORD,02:50,RYR
LAX,LHR,15:25,FIN
DFW,PVG,14:35,AFL
HND,LHR,15:35,AFL
ZRH,FCO,02:10,IBE
MXP,LHR,21:30,LOT
MXP,ORD,23:50,IBE
PVG,FCO,15:15,UAL
HND,FCO,05:45,AFL
FCO,FRA,04:25,ANA
HND,AMS,03:35,UAL
ZRH,MXP,12:10,KLM
DXB,SIN,09:40,BAW
FCO,JFK,12:40,DLH
MAD,HND,22:30,IBE
FRA,SIN,03:45,FIN
FRA,LHR,18:25,BAW
PEK,ATL,19:55,KLM
NRT,MXP,16:35,IBE
ORD,MXP,21:25,IBE
CDG,CPT,22:45,IBE
CPT,LHR,17:20,RYR
MAD,ORD,16:05,LOT
CPT,ORD,20:50,FIN
ATL,ORD,11:05,AZA
PVG,CPT,23:25,AZA
AMS,CDG,02:45,UAL
ZRH,NRT,10:25,AZA
ATL,DXB,10:20,ANA
FCO,NRT,09:25,UAL
PVG,FRA,18:30,ANA
DFW,CDG,13:45,DLH
SIN,JFK,01:25,RYR
AMS,NRT,07:45,AFR
PVG,CDG,02:30,ANA
CDG,FRA,15:15,ANA
FRA,DFW,23:35,BAW
HND,MXP,01:40,BAW
FCO,HND,18:20,AFR
MXP,NRT,17:05,DLH
JFK,SIN,04:55,AEE
FRA,JFK,18:20,RYR
CPT,JFK,11:45,WZZ
PEK,MXP,15:40,UAL
LHR,PEK,22:10,WZZ
LHR,FRA,15:00,MAS
NRT,ATL,23:45,ANA
NRT,LHR,19:15,UAL
MXP,SIN,01:50,MAS
DXB,CDG,06:30,AFR
JFK,NRT,04:15,KLM
PVG,CDG,11:15,RYR
PEK,MAD,18:35,KLM
FCO,MAD,05:05,UAL
DFW,HND,11:15,WZZ
CDG,LHR,02:50,FIN
HND,AMS,06:00,AEE
DFW,MAD,13:00,KLM
CDG,FRA,18:15,BAW
DXB,LHR,18:00,MAS
DFW,JFK,19:30,AZA
ORD,FRA,16:00,MAS
MXP,DFW,08:55,AAL
AMS,ATL,11:35,DLH
FCO,DXB,16:20,BAW
DXB,LHR,07:15,AZA
PEK,ZRH,08:00,SWR
MAD,ATL,19:25,KLM
SIN,JFK,20:00,UAL
ORD,DFW,22:05,ANA
AMS,ZRH,18:25,FIN
CPT,PEK,01:50,BAW
JFK,HND,05:20,MAS
LAX,MXP,07:45,DLH
FCO,PEK,22:25,UAL
FCO,PVG,04:00,SWR
CPT,MXP,01:30,AEE
FCO,FRA,01:50,AEE
PVG,SIN,10:10,UAL
ORD,MAD,22:35,KLM
LHR,ZRH,11:15,ANA
HND,ATL,00:20,RYR
LHR,CDG,04:00,WZZ
PVG,LAX,13:10,IBE
ATL,PEK,13:35,RYR
PVG,MAD,05:10,SWR
ATL,PVG,14:20,MAS
DXB,FRA,03:15,LOT
DXB,MXP,13:35,AFL
FRA,ORD,22:55,LOT
LHR,CDG,17:55,SWR
PEK,MXP,02:00,WZZ
LAX,DFW,09:30,AAL
LHR,PVG,19:45,LOT
DXB,NRT,02:05,AAL
DFW,MXP,19:10,AEE
AMS,NRT,01:50,AFR
PEK,FCO,08:35,AFR
SIN,ORD,00:10,SWR
FRA,LHR,13:10,UAL
DXB,ZRH,00:45,MAS
ZRH,HND,11:50,SWR
PVG,LAX,13:40,LOT
NRT,FRA,08:35,KLM
ORD,AMS,21:05,KLM
MAD,FRA,02:55,UAL
CPT,PVG,19:25,KLM
DFW,FCO,02:30,AAL
JFK,ATL,11:35,BAW
PEK,ORD,12:20,AFR
LHR,DXB,21:40,AAL
FCO,PEK,10:30,AZA
FCO,ZRH,17:00,ANA
PEK,DXB,07:20,KLM
LAX,SIN,13:45,KLM
NRT,PVG,09:35,AEE
CDG,PVG,09:25,UAL
DFW,CPT,05:55,ANA
ZRH,SIN,21:20,KLM
LAX,PVG,21:30,DLH
LAX,ZRH,20:45,AZA
CDG,HND,04:55,DLH
AMS,NRT,21:00,AAL
PEK,MAD,22:15,AAL
ATL,MXP,20:55,AZA
CDG,FCO,00:25,WZZ
ATL,ZRH,07:45,MAS
ZRH,FCO,06:20,AZA
FCO,DXB,20:55,SWR
PVG,DXB,14:30,AEE
MAD,PVG,00:40,AFL
LAX,FRA,21:00,AFL
SIN,NRT,02:50,UAL
PVG,JFK,07:35,AAL
FRA,LHR,05:55,KLM
ORD,CPT,14:00,DLH
LAX,CPT,00:25,UAL
SIN,ATL,08:15,AEE
DFW,MXP,00:35,AFR
ATL,CDG,03:35,AZA
JFK,NRT,15:05,ANA
CDG,CPT,01:40,MAS
MXP,SIN,17:20,KLM
PEK,AMS,01:00,AFL
AMS,ORD,03:55,LOT
HND,CPT,05:50,AFL
PVG,MAD,02:00,ANA
ATL,MAD,09:00,AFR
ATL,ZRH,16:30,FIN
ZRH,PEK,01:30,FIN
SIN,MXP,21:45,RYR
SIN,NRT,10:15,SWR
CPT,SIN,03:15,AFL
ATL,DFW,19:00,AFL
NRT,CPT,23:25,AEE
DXB,SIN,05:15,SWR
ZRH,FRA,10:50,WZZ
FCO,PEK,15:40,AFL
PVG,ZRH,12:45,RYR
CPT,MAD,19:55,AZA
LHR,HND,12:50,AAL
FRA,MAD,04:10,AEE
ZRH,LHR,12:20,AZA
PEK,CDG,17:40,UAL
FRA,MAD,18:45,AFR
MAD,NRT,19:00,LOT
DFW,DXB,16:15,MAS
PVG,FCO,07:50,SWR
SIN,ATL,19:10,UAL
FCO,LHR,10:25,AEE
AMS,CPT,17:00,LOT
CDG,CPT,03:20,UAL
FRA,SIN,10:00,MAS
SIN,MAD,20:10,BAW
PVG,FRA,05:05,AAL
JFK,LAX,18:55,WZZ
JFK,FCO,12:45,KLM
CPT,FCO,03:45,AFR
DFW,HND,22:35,AZA
ZRH,LAX,21:20,AZA
DFW,FRA,19:05,AEE
LAX,PEK,03:45,UAL
PEK,HND,05:50,SWR
ATL,LAX,03:20,AZA
ORD,LHR,19:50,KLM
FRA,ZRH,17:50,BAW
MAD,NRT,11:20,AZA
ZRH,CPT,18:30,IBE
ZRH,HND,08:05,LOT
LHR,MXP,16:55,BAW
HND,FCO,10:40,WZZ
JFK,DXB,16:00,IBE
NRT,FRA,18:15,AFR
CDG,MAD,07:15,AEE
CPT,AMS,05:30,MAS
MAD,ZRH,15:05,LOT
CDG,ATL,02:15,BAW
MAD,LAX,14:55,AFL
FCO,SIN,11:00,AAL
ORD,CPT,04:25,LOT
JFK,AMS,13:20,AZA
PEK,LAX,01:40,SWR
ZRH,CPT,19:05,AAL
FRA,PVG,15:40,KLM
MAD,LAX,19:25,WZZ
PVG,MAD,11:55,AFL
FRA,SIN,19:45,AZA
DFW,CPT,20:45,AAL
CDG,CPT,10:15,LOT
FCO,ATL,21:35,ANA
PEK,DXB,01:40,DLH
ATL,AMS,00:30,AFR
ORD,CDG,16:35,SWR
PVG,ZRH,07:20,MAS
ZRH,SIN,10:25,WZZ
MAD,FRA,17:00,ANA
ZRH,AMS,08:10,UAL
DFW,SIN,20:15,LOT
PVG,MAD,04:35,IBE
AMS,PVG,22:40,AFR
PVG,ORD,05:55,IBE
AMS,HND,16:10,AEE
AMS,LAX,08:25,WZZ
CPT,NRT,03:15,SWR
ORD,LHR,11:35,AEE
DXB,ATL,12:35,RYR
DXB,FRA,23:25,IBE
AMS,DFW,04:55,MAS
ORD,MAD,09:15,DLH
JFK,AMS,08:25,UAL
LAX,HND,12:15,AFL
LHR,PVG,01:05,LOT
ZRH,MXP,21:45,ANA
HND,NRT,06:00,IBE
LHR,ATL,16:35,AFR
PEK,ATL,14:50,KLM
FRA,CPT,04:50,SWR
FCO,DFW,18:20,RYR
MAD,JFK,15:30,AFR
LAX,ZRH,17:45,DLH
SIN,MAD,16:00,DLH
PVG,FCO,19:00,AAL
ORD,ZRH,13:40,BAW
CPT,DFW,22:30,FIN
MAD,PVG,05:55,AFR
DFW,HND,02:10,WZZ
LAX,JFK,09:40,AEE
DFW,NRT,13:20,AAL
LAX,DXB,12:55,SWR
HND,PVG,03:05,DLH
ATL,HND,17:30,SWR
PEK,FCO,15:20,LOT
LAX,DFW,04:00,SWR
LHR,FRA,09:30,DLH
DXB,LHR,19:55,DLH
CDG,ORD,09:40,IBE
AMS,FCO,07:30,WZZ
ATL,AMS,17:40,ANA
DXB,DFW,15:00,WZZ
CPT,DFW,03:35,ANA
ATL,LAX,20:50,SWR
ORD,CDG,06:15,LOT
SIN,JFK,14:25,AEE
SIN,DFW,01:55,KLM
DXB,NRT,22:45,AFR
CPT,FRA,13:40,UAL
JFK,DXB,09:05,UAL
LAX,AMS,06:35,DLH
PEK,CDG,19:00,AEE
DXB,JFK,00:15,AZA
FCO,CPT,04:50,WZZ
ORD,AMS,01:05,AZA
DFW,FRA,21:20,AFL
ATL,PEK,17:35,RYR
ZRH,SIN,02:30,ANA
DXB,LAX,19:30,DLH
CPT,ATL,20:55,MAS
HND,NRT,07:45,FIN
SIN,FCO,11:45,ANA
PVG,CDG,04:10,DLH
HND,SIN,15:55,UAL
SIN,ORD,21:35,IBE
AMS,MAD,06:25,WZZ
MXP,CDG,20:20,UAL
SIN,MXP,12:15,IBE
SIN,CDG,13:25,MAS
CPT,PEK,23:55,WZZ
LAX,LHR,00:05,UAL
AMS,CDG,18:45,AAL
LAX,MXP,02:10,AEE
CPT,PVG,09:50,RYR
AMS,FRA,14:50,LOT
HND,DFW,03:10,FIN
DXB,SIN,05:55,SWR
SIN,PVG,19:35,IBE
FRA,CPT,03:45,SWR
ORD,ZRH,09:10,MAS
MXP,LHR,05:50,AAL
LAX,MAD,13:35,KLM
PEK,ATL,16:30,LOT
PEK,LAX,04:30,IBE
ZRH,PEK,12:05,MAS
ATL,FCO,14:45,KLM
LHR,NRT,15:40,BAW
MXP,AMS,11:05,WZZ
ORD,LHR,07:35,AZA
PEK,AMS,13:05,AZA
CPT,ORD,16:50,UAL
HND,FCO,05:05,LOT
FCO,MAD,19:35,AFR
HND,LAX,19:50,UAL
FRA,DXB,16:15,AZA
FRA,ORD,23:20,SWR
LHR,HND,18:15,AFL
ATL,MAD,08:45,RYR
NRT,DXB,07:25,AAL
AMS,PEK,15:50,DLH
LAX,ORD,07:50,DLH
SIN,LHR,18:05,ANA
HND,SIN,13:50,MAS
SIN,MAD,12:55,ANA
JFK,LHR,17:55,ANA
LHR,NRT,16:25,AEE
NRT,LAX,18:30,BAW
PVG,ZRH,15:35,AZA
LHR,PVG,18:40,DLH
PVG,DFW,00:05,ANA
PVG,FRA,09:10,AFR
CPT,ZRH,10:15,UAL
ORD,MAD,04:15,AFR
PEK,ATL,11:30,LOT
FRA,ATL,21:25,SWR
MXP,NRT,04:40,KLM
DFW,MAD,23:05,AFL
LHR,PVG,01:40,BAW
LHR,ATL,20:00,AFR
MAD,FRA,00:00,LOT
FCO,DFW,03:15,FIN
SIN,JFK,12:50,SWR
ORD,LAX,17:20,ANA
MXP,PEK,00:05,AEE
LAX,NRT,17:10,IBE
PVG,FRA,13:55,KLM
MAD,DFW,00:45,MAS
ORD,JFK,04:20,KLM
CPT,ATL,13:20,DLH
FCO,PEK,09:10,BAW
LHR,NRT,06:50,SWR
CPT,MXP,19:00,WZZ
NRT,FCO,04:25,LOT
FRA,ZRH,13:40,WZZ
CPT,DFW,21:35,RYR
ATL,DXB,14:20,MAS
AMS,PVG,08:45,DLH
ATL,MXP,02:05,AZA
CPT,PEK,23:40,BAW
LHR,PEK,07:30,ANA
LHR,SIN,16:35,WZZ
ORD,FCO,06:15,AFL
LAX,ZRH,18:55,LOT
ZRH,DFW,14:25,LOT
FCO,AMS,20:10,SWR
FCO,AMS,11:15,AFL
MAD,ATL,03:20,KLM
FCO,LHR,10:35,AAL
PEK,PVG,11:10,DLH
JFK,AMS,12:45,MAS
SIN,ORD,16:45,BAW
MAD,LAX,03:05,IBE
PVG,LAX,17:25,DLH
ORD,MXP,21:50,AFL
PEK,HND,04:15,AAL
ATL,PVG,12:50,KLM
LAX,JFK,00:25,WZZ
FRA,ORD,01:10,AEE
DXB,HND,17:30,FIN
CPT,ORD,06:15,DLH
DFW,LHR,00:20,WZZ
CDG,ORD,22:45,KLM
MXP,DFW,20:30,KLM
PVG,MXP,08:25,IBE
AMS,MAD,19:00,AAL
MXP,LHR,05:05,AFR
PVG,JFK,21:00,ANA
ORD,MAD,09:15,SWR
FRA,DXB,05:35,MAS
PEK,MXP,07:00,LOT
LAX,PEK,01:50,BAW
NRT,DXB,00:10,UAL
AMS,MAD,22:45,UAL
NRT,LAX,07:20,KLM
HND,DFW,11:25,KLM
CPT,MAD,22:20,SWR
DXB,ZRH,18:20,ANA
FRA,ATL,17:45,AEE
CPT,NRT,22:55,MAS
FRA,LAX,00:35,AEE
LHR,JFK,15:05,MAS
ZRH,CPT,02:20,SWR
AMS,FCO,11:15,FIN
DXB,PVG,02:45,IBE
LHR,PEK,22:05,MAS
FCO,ATL,20:45,RYR
FRA,JFK,16:00,MAS
CDG,CPT,03:50,AFR
FCO,JFK,18:20,AEE
PVG,CPT,00:20,IBE
PEK,MXP,04:55,SWR
MXP,FRA,11:00,IBE
DXB,LAX,08:25,RYR
ORD,PVG,12:15,UAL
SIN,PEK,15:40,AAL
FCO,CPT,20:30,MAS
FCO,ORD,04:30,LOT
MXP,AMS,00:50,AAL
ATL,ORD,03:10,FIN
DXB,CPT,21:55,AAL
ZRH,AMS,13:55,RYR
FCO,ORD,08:45,MAS
DXB,SIN,10:25,AAL
LHR,PVG,05:15,FIN
CPT,ZRH,00:40,AFR
PEK,HND,00:45,BAW
PVG,FRA,21:55,LOT
DXB,CDG,09:45,AZA
DXB,FCO,06:30,AFR
FCO,MXP,23:25,FIN
LAX,AMS,03:20,LOT
ZRH,HND,13:05,WZZ
CPT,LHR,17:00,MAS
PVG,HND,09:45,AAL
ZRH,CDG,20:10,WZZ
JFK,CPT,12:45,AAL
NRT,ATL,20:20,AFL
ATL,PEK,14:40,AFL
FRA,MXP,02:50,FIN
DXB,FCO,16:05,AAL
LAX,PVG,02:40,AAL
FRA,MAD,01:35,BAW
ZRH,CPT,09:55,BAW
DFW,AMS,22:55,LOT
CPT,MXP,00:40,RYR
DXB,SIN,18:10,MAS
JFK,LHR,22:55,ANA
LHR,ATL,04:45,BAW
ZRH,MAD,22:25,LOT
SIN,MXP,17:30,AZA
CPT,JFK,10:35,LOT
JFK,FCO,00:50,AEE
JFK,NRT,01:35,MAS
PEK,ZRH,01:30,IBE
NRT,ATL,08:20,KLM
LHR,DXB,03:10,AFR
NRT,FRA,15:15,LOT
PVG,JFK,18:35,AZA
ORD,CDG,08:50,SWR
MXP,JFK,20:50,AFR
AMS,PEK,13:55,AAL
DXB,LHR,00:40,BAW
ORD,DFW,06:25,UAL
CPT,HND,05:40,LOT
ORD,ATL,19:05,MAS
CPT,SIN,15:10,MAS
LHR,ZRH,01:15,UAL
PVG,CPT,22:05,ANA
ZRH,FCO,08:25,AAL
DXB,MAD,06:15,ANA
NRT,FCO,21:45,DLH
ORD,LAX,05:45,DLH
DFW,PVG,12:10,AZA
JFK,SIN,03:40,UAL
CDG,CPT,07:15,UAL
LAX,FCO,07:15,AEE
CDG,FRA,10:25,KLM
MAD,ORD,22:15,KLM
ZRH,MXP,08:50,AAL
HND,DXB,03:20,IBE
AMS,ORD,22:15,WZZ
MXP,LHR,17:05,BAW
JFK,MAD,02:05,AAL
FRA,FCO,16:05,AFR
ATL,AMS,04:40,UAL
AMS,ATL,16:10,WZZ
DFW,ZRH,14:40,LOT
SIN,AMS,07:50,FIN
LHR,CDG,17:50,AEE
DFW,JFK,21:15,FIN
MAD,CPT,15:35,UAL
CPT,FRA,12:30,AEE
NRT,AMS,06:10,UAL
LHR,ZRH,04:30,FIN
FRA,CDG,23:25,BAW
CPT,LHR,13:00,IBE
AMS,CPT,03:45,KLM
FCO,JFK,01:40,LOT
DXB,CDG,09:50,DLH
MAD,PEK,20:50,RYR
DXB,ORD,03:45,KLM
LAX,ZRH,03:00,AEE
ORD,JFK,15:10,BAW
SIN,PVG,17:35,KLM
JFK,MXP,03:30,BAW
SIN,AMS,23:35,AAL
SIN,MAD,00:45,RYR
PVG,DXB,12:55,DLH
FRA,SIN,01:35,ANA
ZRH,FRA,04:10,WZZ
DFW,MXP,06:20,FIN
MXP,ATL,06:10,AFL
DFW,FCO,11:20,LOT
AMS,PEK,13:20,AFR
NRT,CPT,02:45,DLH
SIN,FRA,22:30,IBE
PEK,PVG,17:50,AFR
MXP,LHR,05:05,SWR
ORD,JFK,02:10,AFL
ZRH,JFK,18:20,WZZ
NRT,JFK,06:50,BAW
SIN,PVG,06:30,LOT
ATL,MAD,04:25,MAS
NRT,SIN,10:45,WZZ
PEK,HND,20:00,ANA
HND,ZRH,19:40,FIN
ATL,CDG,12:55,AFR
PEK,LHR,19:25,AZA
FRA,CPT,20:25,FIN
FCO,ZRH,00:00,FIN
ZRH,AMS,01:55,LOT
FCO,ZRH,17:55,MAS
MXP,FCO,22:50,KLM
HND,JFK,13:50,AFL
MXP,MAD,06:40,LOT
CDG,AMS,08:20,FIN
AMS,LAX,11:20,DLH
AMS,LAX,05:10,UAL
ATL,MXP,02:55,SWR
AMS,PVG,19:10,FIN
JFK,FCO,21:50,WZZ
CDG,SIN,20:35,FIN
ORD,PEK,10:15,AEE
DXB,ATL,04:30,UAL
AMS,ORD,17:40,AFL
MAD,FCO,19:10,MAS
CDG,DXB,11:00,KLM
DXB,LAX,08:00,AAL
AMS,SIN,15:50,IBE
FCO,ZRH,15:30,FIN
MAD,ATL,07:15,UAL
LAX,DXB,14:25,FIN
LHR,MAD,09:00,AFL
JFK,SIN,03:25,RYR
SIN,PVG,21:00,IBE
LHR,DXB,08:40,SWR
LAX,ORD,12:05,LOT
JFK,FCO,23:10,LOT
FCO,MAD,22:05,ANA
JFK,ATL,10:10,AFR
MAD,PEK,03:05,AAL
NRT,LAX,04:00,AZA
AMS,JFK,10:40,RYR
AMS,JFK,00:00,DLH
NRT,LHR,02:45,ANA
MAD,PVG,07:40,AFR
PEK,ATL,11:35,SWR
MAD,PVG,04:05,LOT
ATL,MAD,04:15,LOT
FRA,DFW,01:15,AFL
CPT,JFK,08:25,IBE
PEK,NRT,17:55,AFR
CPT,NRT,10:25,AFR
LHR,FCO,12:05,WZZ
FRA,AMS,02:45,ANA
HND,AMS,18:40,RYR
ZRH,PVG,02:55,IBE
CPT,ATL,17:25,DLH
LHR,DFW,18:55,UAL
LHR,PEK,06:55,AFR
FCO,PVG,19:45,DLH
LHR,ZRH,22:50,SWR
DXB,PVG,02:45,MAS
MXP,JFK,10:55,FIN
FCO,LHR,08:15,UAL
CPT,FCO,03:55,MAS
PEK,ORD,18:25,BAW
JFK,ORD,04:20,IBE
ORD,LAX,01:25,UAL
ZRH,AMS,16:15,AZA
AMS,PEK,06:25,FIN
MAD,DFW,10:15,KLM
FRA,JFK,06:30,KLM
SIN,MAD,08:05,DLH
PEK,MAD,19:40,ANA
NRT,SIN,07:00,SWR
NRT,PEK,19:50,ANA
ZRH,CPT,18:20,AEE
JFK,MXP,13:55,FIN
HND,CDG,02:10,MAS
MAD,SIN,16:15,AFL
JFK,PEK,02:35,AFL
CDG,HND,15:05,AFL
ORD,CPT,10:15,IBE
ZRH,LAX,19:05,AFL
DXB,LAX,18:20,FIN
MXP,ATL,03:40,BAW
FRA,LHR,10:35,AAL
FCO,CDG,21:15,AFR
HND,ZRH,23:55,SWR
FCO,FRA,09:35,SWR
MAD,MXP,19:50,FIN
PEK,CPT,04:55,MAS
NRT,ZRH,09:05,FIN
LAX,MXP,19:25,LOT
AMS,JFK,03:55,FIN
MXP,FRA,13:55,AZA
FCO,LAX,09:00,DLH
AMS,LHR,18:00,ANA
LAX,DXB,17:50,DLH
CDG,ZRH,19:10,UAL
MXP,FCO,22:05,FIN
NRT,FRA,06:00,LOT
ORD,MAD,08:35,UAL
DFW,HND,03:10,UAL
MAD,DFW,18:05,FIN
JFK,CDG,20:40,KLM
NRT,MXP,05:40,AFR
SIN,ATL,02:45,AZA
DXB,DFW,19:40,RYR
JFK,DXB,14:50,AEE
PEK,JFK,04:00,BAW
ORD,LHR,06:15,AZA
LAX,HND,06:10,AFL
CPT,LHR,14:40,ANA
ATL,CDG,01:10,AFR
ATL,ORD,14:45,AEE
PEK,JFK,20:15,FIN
DXB,CDG,22:45,AAL
HND,DXB,16:50,AEE
AMS,PEK,15:10,SWR
CPT,JFK,07:50,BAW
CPT,ORD,22:05,RYR
FRA,MAD,07:15,DLH
MXP,DXB,16:55,SWR
JFK,ZRH,23:15,AAL
HND,AMS,03:25,AFR
JFK,MXP,14:35,WZZ
FCO,ATL,00:55,AEE
DFW,ATL,14:35,RYR
DFW,FRA,11:30,AAL
PVG,ZRH,04:35,BAW
ZRH,JFK,03:30,AFL
CDG,CPT,22:25,AFL
PEK,FCO,21:25,ANA
DFW,FRA,03:30,AFL
MAD,PVG,04:35,MAS
LHR,NRT,12:10,LOT
DXB,DFW,11:35,AZA
FCO,MXP,13:30,LOT
PVG,CPT,20:45,BAW
AMS,NRT,03:00,AFL
ATL,AMS,03:25,AFR
NRT,CDG,20:45,IBE
JFK,LAX,21:55,FIN
SIN,DXB,08:45,AEE
DXB,PEK,07:40,WZZ
ZRH,FRA,14:55,FIN
ZRH,FCO,06:50,AEE
LAX,MXP,19:50,LOT
MXP,JFK,10:45,UAL
NRT,ATL,23:25,AAL
LHR,CPT,09:55,MAS
CDG,DFW,15:45,AFR
DFW,LHR,13:55,AFL
PEK,DFW,04:20,RYR
MXP,PEK,20:25,LOT
HND,FCO,08:30,BAW
ZRH,PVG,14:15,ANA
SIN,ATL,09:45,ANA
ZRH,NRT,10:00,LOT
MAD,DFW,04:55,BAW
ATL,NRT,03:50,AZA
LHR,JFK,12:05,LOT
HND,PEK,01:50,LOT
AMS,DFW,06:50,AFL
NRT,DXB,02:10,KLM
PEK,FRA,15:20,AZA
PEK,HND,07:10,RYR
ORD,DXB,11:30,SWR
NRT,LAX,02:30,MAS
FCO,AMS,12:50,DLH
FRA,NRT,18:30,KLM
AMS,ZRH,09:00,BAW
HND,AMS,23:40,AAL
CDG,ZRH,10:30,UAL
SIN,PEK,05:05,AEE
NRT,AMS,07:25,BAW
NRT,FRA,13:20,RYR
LHR,JFK,06:50,WZZ
PEK,FCO,00:00,DLH
DFW,ZRH,22:45,RYR
FRA,PEK,16:00,BAW
MAD,NRT,09:45,IBE
ORD,AMS,11:30,AFL
FRA,HND,04:20,IBE
MAD,JFK,00:40,AFL
DXB,PEK,05:35,IBE
FCO,JFK,23:40,FIN
AMS,CPT,23:45,RYR
CPT,SIN,00:25,AAL
SIN,JFK,00:00,RYR
ORD,AMS,09:15,SWR
LHR,DXB,10:55,DLH
CPT,FCO,11:05,AAL
CPT,JFK,22:20,ANA
CDG,HND,11:20,SWR
FRA,MXP,15:25,AZA
MAD,ATL,05:55,SWR
MAD,ATL,01:40,SWR
NRT,ATL,21:35,MAS
MXP,DFW,17:40,SWR
SIN,LHR,01:50,AZA
PEK,HND,15:00,AAL
FCO,LAX,03:15,WZZ
CDG,DXB,23:00,DLH
FRA,LHR,19:45,ANA
MAD,ATL,09:30,AZA
PEK,DFW,16:00,RYR
JFK,CPT,09:05,BAW
AMS,PVG,10:20,AFR
CDG,SIN,11:55,FIN
LHR,DFW,14:05,DLH
CPT,DXB,14:05,LOT
CPT,LHR,13:25,AFL
AMS,MAD,12:50,MAS
MXP,CDG,02:15,AFR
LAX,PEK,20:50,ANA
JFK,PVG,13:45,RYR
JFK,LAX,06:35,SWR
SIN,MXP,18:45,MAS
NRT,HND,17:55,DLH
FRA,AMS,20:10,AFR
JFK,DXB,23:50,UAL
ATL,CPT,23:40,IBE
NRT,CPT,06:30,AAL
FCO,ORD,12:00,BAW
DFW,LHR,07:45,RYR
CPT,LAX,14:45,BAW
HND,ZRH,14:55,DLH
SIN,MXP,19:55,BAW
LHR,NRT,08:20,AZA
CDG,MAD,14:55,SWR
SIN,JFK,02:25,LOT
FCO,ZRH,23:50,UAL
DFW,MAD,22:05,RYR
LHR,CPT,00:35,KLM
AMS,SIN,07:35,AAL
LHR,PEK,20:35,AFR
SIN,FCO,20:10,RYR
ATL,FCO,08:00,SWR
PVG,MXP,21:00,RYR
LAX,NRT,07:15,AFR
PEK,CDG,01:30,BAW
JFK,PEK,21:05,RYR
ZRH,LAX,00:55,AEE
DFW,NRT,09:45,IBE
MAD,SIN,00:25,IBE
PEK,NRT,07:40,AEE
DXB,FRA,10:20,BAW
JFK,ORD,06:05,AZA
ORD,ZRH,23:45,IBE
MAD,ATL,21:15,ANA
ORD,MAD,12:50,DLH
PVG,ORD,12:00,DLH
FCO,CDG,18:55,BAW
ORD,FRA,10:15,DLH
CDG,ZRH,18:25,SWR
MXP,NRT,00:15,DLH
SIN,CDG,03:50,AZA
LAX,MXP,00:20,AFR
DFW,FRA,20:55,IBE
JFK,SIN,03:15,IBE
ORD,MAD,09:05,KLM
LHR,CPT,16:10,UAL
ATL,DFW,16:25,MAS
AMS,LHR,16:10,AAL
CPT,LAX,20:20,IBE
HND,LAX,05:45,LOT
CPT,AMS,03:25,FIN
PVG,FCO,06:50,AAL
CDG,LHR,04:10,FIN
LAX,HND,03:00,AFR
SIN,NRT,15:10,FIN
LAX,ATL,20:55,AFL
MAD,FCO,09:05,AZA
ORD,CDG,09:45,MAS
LHR,CPT,13:25,DLH
HND,NRT,08:45,AFL
HND,AMS,07:50,BAW
ZRH,CDG,08:50,AFR
FRA,AMS,14:20,IBE
CPT,AMS,07:50,RYR
DFW,NRT,02:15,IBE
ORD,FCO,18:20,WZZ
ORD,JFK,19:55,AFR
DFW,PEK,17:00,IBE
FRA,HND,13:40,BAW
NRT,LHR,00:05,IBE
LHR,HND,03:05,DLH
LHR,PVG,03:30,AAL
MXP,NRT,23:45,AEE
FRA,MAD,20:40,MAS
DXB,LAX,13:05,DLH
MAD,DXB,16:10,AFR
SIN,ORD,07:55,AFL
CPT,DFW,10:05,FIN
FCO,CPT,16:45,FIN
ATL,CPT,08:30,DLH
LHR,MAD,20:50,KLM
ATL,CPT,11:55,LOT
HND,CDG,13:15,LOT
MAD,CDG,16:55,AFR
NRT,JFK,23:10,SWR
FRA,LHR,00:20,UAL
FCO,ZRH,01:55,AEE
CDG,DFW,10:50,RYR
SIN,NRT,00:20,FIN
FCO,MXP,15:20,AFL
ATL,FRA,05:15,KLM
PVG,NRT,18:05,UAL
DXB,LAX,20:00,AEE
DFW,SIN,23:25,MAS
CPT,DFW,13:05,AEE
HND,FCO,13:25,UAL
FCO,HND,20:05,AZA
HND,FRA,10:45,MAS
PVG,CDG,04:10,SWR
CPT,JFK,14:30,KLM
JFK,ORD,01:10,BAW
MAD,FRA,20:35,WZZ
JFK,LHR,22:30,KLM
JFK,DFW,01:40,MAS
ORD,JFK,04:25,RYR
DXB,MAD,01:30,UAL
MXP,LAX,17:35,FIN
